Kanji,Reading,Meaning,Japanese Example,English Example
作法,さほう,"manners, etiquette, propriety",彼女は作法がとてもよい。,She has very good manners.
様々,さまざま,"varied, various",この町には様々なレストランがある。,There are various restaurants in this town.
冷ます,さます,"to cool, to let cool",お茶を冷ますのを忘れてしまった。,I forgot to cool down the tea.
覚ます,さます,to awaken,目が覚ますと、美しい景色が広がっていた。,"When I woke up, a beautiful view spread out before me."
冷める,さめる,"to become cool, to wear off",コーヒーが冷める前に飲まないと。,I have to drink the coffee before it gets cold.
覚める,さめる,"to wake, to wake up",夢から覚めて現実に戻る。,To wake up from a dream and return to reality.
左右,さゆう,left and right; influence,その決定にはあなたの助言が大きな左右をしました。,Your advice had a significant influence on that decision.
皿,さら,"plate, dish",テーブルの上にお皿が置いてあります。,There are plates placed on the table.
更に,さらに,"furthermore, moreover",彼女は更にその話について説明しました。,She further explained the story.
去る,さる,"to leave, to go away",去る者は日々に疎し。,"Out of sight, out of mind."
猿,さる,monkey,その公園にはたくさんの猿がいる。,There are many monkeys in that park.
騒ぎ,さわぎ,"uproar, disturbance",騒ぎが収まってから話をしよう。,Let's talk after the commotion settles down.
参加,さんか,participation,彼はそのプロジェクトに参加している。,He is participating in the project.
参考,さんこう,"reference, consultation",この本は参考になる。,This book is helpful as a reference.
賛成,さんせい,"approval, agreement",私はその提案に賛成です。,I agree with the proposal.
酸性,さんせい,acidity,その液体は酸性を示している。,The liquid shows acidity.
酸素,さんそ,oxygen,人間は酸素を呼吸する。,Humans breathe oxygen.
氏,し,"family name, lineage",その氏の先祖は有名人だったらしい。,It seems that the ancestors of that family were famous.
詩,し,poem; poetry,彼女は詩を書くのが得意だ。,She is good at writing poems.
幸せ,しあわせ,"happiness, blessing",家族と一緒に過ごす時間は幸せだ。,Spending time with family is happiness.
ジーンズ,ジーンズ,jeans,彼はいつもジーンズを履いている。,He always wears jeans.
ジェット機,ジェットき,jet plane,ジェット機は速く飛ぶ。,Jet planes fly fast.
四角,しかく,square,その部屋は四角い形をしている。,The room has a square shape.
直に,じかに,"immediately, readily, directly",直にその問題を解決すべきだ。,The problem should be solved immediately.
