Kanji,Reading,Meaning,Japanese Example,English Example
〜 (まる) ごと,〜 (まる) ごと,"whole ~, all of ~",その行事は一年に一度行われる。,That event is held once a year.
(かさを～) さす,(かさを～) さす,to open; hold (an umbrella),雨が降っているので傘をさしました。,I opened my umbrella because it was raining.
〜(日本) 式,～(にほん) しき,"custom,",彼は日本式の礼儀を守っている。,He observes Japanese customs.
～位,～い,~th place,None,None
～いち (にほんいち),～いち (にほんいち),No. 1 ~ (in),None,None
～園,～えん,~ garden (especially man made),None,None
～おしまい (おわり),～おしまい (おわり),end up ~,None,None
～日,～か,counter for days,None,None
～下,～か,under ~,None,None
～化,～か,action of making something,None,None
～科,～か,"family, group, course",None,None
～歌,～か,song of ~,None,None
～画,～が,"picture, painting",None,None
～外,～がい,out of ~,None,None
～難い,～がたい,hard (difficult) to do ~,None,None
～がち,～がち,tend to do ~,None,None
～刊,～かん,"~ issued (magazine, newspaper)",None,None
～間,～かん,"between, during",None,None
～巻,～かん,volume,None,None
～館,～かん,"~ hall, ~ building",None,None
～感,～かん,"feeling, sense, impression",None,None
～期,～き,"~age, ~period",None,None
～器,～き,"device, equipment",None,None
～機,～き,machine,None,None
～気味,～ぎみ,slightly ~,None,None
～教,～きょう,religion,None,None
～行,～ぎょう,"line, row",None,None
～業,～ぎょう,type of business,None,None
～きる,～きる,"nevertheless, to carry through",None,None
～切れ,～きれ,out of ~,None,None
～口,～くち,"~ opening; ~ entrance, ~ exit",None,None
～家,～け,"~'s family, the house of ~",None,None
～形,～けい,shape of ~,None,None
～系,～けい,"~ system, ~ lineage, ~ group",None,None
～圏,～けん,"bloc, sphere, area",None,None
～校,～こう,counter for school,None,None
～港,～こう,~ port,None,None
～号,～ごう,counter for magazine; the name of ship,None,None
～国,～こく,nation of ~,None,None
～毎,～ごと,"every ~, each ~",None,None
～山,～さん,the name of mountain,富士山は日本で一番高い山です。,Mount Fuji is the highest mountain in Japan.
～産,～さん,made in ~,この製品は日本産です。,This product is made in Japan.
～史,～し,history of ~,日本史に興味があります。,I am interested in Japanese history.
～紙,～し,"newspaper, type of paper",毎朝新聞を読みます。,I read the newspaper every morning.
～寺,～じ,the name of temple,京都にはたくさんの寺があります。,There are many temples in Kyoto.
～時間目,～じかんめ,"~th hour, ~th period",3時間目は数学の授業です。,The third period is math class.
～室,～しつ,counter for room,この建物には20の部屋があります。,This building has 20 rooms.
～日,～じつ,day,明日は日曜日です。,Tomorrow is Sunday.
～車,～しゃ,~ car,新車を買いたいです。,I want to buy a new car.
～者,～しゃ,person,優秀な学者が賞を受賞しました。,The distinguished scholar received an award.
～社,～しゃ,counter for company,その会社は大手企業です。,That company is a major corporation.
～手,～しゅ,"~ player, person who does ~",彼はテニスの上手な選手です。,He is a skilled tennis player.
～酒,～しゅ,kind of alcohol,日本酒の種類がたくさんあります。,There are many kinds of Japanese sake.
～集,～しゅう,collection of ~,骨董品のコレクションがあります。,There is a collection of antiques.
～所,～しょ,place,駅はここから遠い所にあります。,The station is located far from here.
～所,～じょ,place,駅はここから遠い所にあります。,The station is located far from here.
～女,～じょ,count for sisters,姉妹が3人いるので、三女です。,"I have three sisters, so I am the third sister."
～省,～しょう,kind of ministry,経済省の職員を募集中です。,The Ministry of Economy is currently recruiting staff.
～商,～しょう,"merchant, business",彼は有名な商人です。,He is a famous merchant.
～勝,～しょう,count for victory,彼は5回勝負しました。,He won five times.
～条,～じょう,counter for article,この条は重要な部分です。,This article is an important part.
～場,～じょう,"kind of field, ground",球場で野球の試合を見ました。,I watched a baseball game at the stadium.
～畳,～じょう,"count for tatami, mat",この部屋には畳が4枚あります。,There are four tatami mats in this room.
～色,～しょく,kind of color,彼女の髪の色は黒です。,Her hair color is black.
～過ぎる,～すぎる,too much ~,その映画は長すぎます。,That movie is too long.
～済,～ずみ,finished,準備がすみました。,Preparations are complete.
～席,～せき,counter for seats,会議の席があります。,There are seats for the meeting.
～船,～せん,counter for ships,港には多くの船が停泊しています。,Many ships are moored at the harbor.
～戦,～せん,"counter for games, matches",昨日は5試合戦いました。,I played five matches yesterday.
～前,～ぜん,before ~,昨日の前の晩に友達と会いました。,I met my friend the night before yesterday.
～沿い,～そい,along,川沿いを散歩しました。,I took a walk along the river.
～艘,～そう,counter for ships,港に船が3艘停泊しています。,There are three ships moored at the port.
～足,～そく,counter for shoes,靴は10足持っています。,I have ten pairs of shoes.
～だらけ,～だらけ,"be full of ~, be filled with ~",机の上は本でいっぱいです。,The desk is full of books.
～団,～だん,"group, corps, party",学校の学生団体に所属しています。,I belong to the student organization at school.
～着,～ちゃく,counter for clothes; finishing place,私は3着着物を持っています。,I have three kimono.
～庁,～ちょう,"office, agency",彼は地方自治体の庁舎に勤めています。,He works at the local government office building.
～兆,～ちょう,trillion,その数字は1兆です。,That number is one trillion.
～長,～ちょう,"leader, head",彼女は会社の部長です。,She is the head of the company.
～帳,～ちょう,"~ book, notebook",日記の帳をもらいました。,I got a diary book.
～丁目,～ちょうめ,"~ district (of a town; city, block)",私の家は新宿３丁目にあります。,My house is located in Shinjuku 3rd district.
～通,～つう,counter for letters,手紙を2通送りました。,I sent two letters.
～遣い,～づかい,use of ~,お金の使い方が大切です。,The way of using money is important.
～付,～つき,with ~,車付きのアパートを探しています。,I'm looking for an apartment with a car.
～続く,～つづく,"follow, continue, go on",彼の話は長く続きます。,His story goes on and on.
～辛い,～づらい,hard to do ~,難題を解決するのは辛い。,It's hard to solve difficult problems.
～滴,～てき,drop,雨が一滴落ちた。,A drop of rain fell.
～点,～てん,counter for scores,試験で80点を取った。,I scored 80 points on the test.
～頭,～とう,counter for animals,牛が３頭いる。,There are three cows.
～等,～とう,"level, place",友人らと楽しい時間を過ごす。,Spend a good time with friends.
～島,～とう,kind of islands,沖縄には美しい島がたくさんあります。,Okinawa has many beautiful islands.
～道,～どう,"kind of path, road",この道をまっすぐ行くと駅に着きます。,"If you go straight on this road, you will reach the station."
～通り,～とおり,"in accordance with ~; following ~; ~ street, ~ avenue",ルールに従って行動してください。,Please act in accordance with the rules.
～ところ,～ところ,about to do ~,昼ご飯を食べるところです。,I am about to have lunch.
～内,～ない,inside ~,友達と公園の中で遊んだ。,I played in the park with my friends.
～年生,～ねんせい,counter for school year,彼は2年生です。,He is a second-year student.
～泊,～はく,"counter for staying (e.g., 2 nights)",ホテルに1泊した。,I stayed at a hotel for one night.
～発,～はつ,counter for bullets,銃弾が3発撃たれた。,Three bullets were fired.
～番目,～ばんめ,~th,彼は3番目に到着した。,He arrived third.
～費,～ひ,cost of ~,旅行費用を計算する。,Calculate the cost of the trip.
～病,～びょう,kind of disease,彼女は急性の胃病にかかった。,She got acute stomach disease.
～部,～ぶ,~ part,書類を2部コピーしてください。,Please make two copies of the documents.
～風,～ふう,~ style,日本風のデザインが好きです。,I like Japanese-style designs.
～振り,～ぶり,after an interval of ~,10年ぶりに彼に会った。,I met him after ten years.
～遍,～へん,time,その映画を何回も見た。,I watched the movie many times.
～弁,～べん,"speech, dialect",京都弁は聞きなれない。,I'm not used to hearing Kyoto dialect.
～歩,～ほ,"step, pace",一歩一歩前進する。,Move forward step by step.
～ぽい,～ぽい,~ish,彼女は素直ぽい性格だ。,She has a docile-like personality.
～ほう (ひかく),～ほう (ひかく),(in comparison),この問題の方が難しい。,This problem is more difficult.
～みたい,～みたい,looks like ~,彼は猫みたいな目をしている。,He has eyes like a cat.
～向け,～むけ,for ~,この本は初心者向けです。,This book is for beginners.
～名,～めい,counter for people,3人の女性が集まりました。,Three women gathered.
～もち,～もち,person who has ~,犬もちの人がたくさんいます。,There are many people who have dogs.
～問,～もん,counter for questions,テストで10問解いた。,I solved ten questions on the test.
～夜,～や,counter for nights,今宵は月夜千冊。,Tonight is a moonlit night.
～等,～ら,plural persons,友人らと楽しい時間を過ごす。,Spend a good time with friends.
～流,～りゅう,"fashion, manner, way",彼女の服装は大人流だ。,Her outfit is mature.
～料,～りょう,"fare, charge",昼食料金を払った。,I paid for the lunch charge.
～領,～りょう,territory,独立国家領土を侵した。,Invaded the territory of an independent country.
～力,～りょく,power of ~,彼は強力なリーダーだ。,He is a strong leader.
～論,～ろん,theory,彼の政治論はとても興味深い。,His political theory is very interesting.
～羽,～わ,counter for rabbits; birds,その川には鴨が10羽いました。,There were ten ducks in the river.
相変わらず,あいかわらず,"as usual, as always, as before, as ever, still",彼女は相変わらず美しい。,She is as beautiful as ever.
アイデア; アイディア,アイデア; アイディア,idea,新しいアイデアを出してみましょう。,Let's come up with some new ideas.
あいまい,あいまい,"vague, ambiguous",その説明はあいまいでわかりにくい。,That explanation is vague and hard to understand.
扇ぐ,あおぐ,"to fan, to flap",暑い夏、うちわで涼しさを扇ぐ。,"In the hot summer, we fan ourselves to stay cool."
青白い,あおじろい,pale,彼の顔色が青白かった。,His complexion was pale.
呆れる,あきれる,"to be shocked, to be appalled",その驚くべき出来事に彼女は呆れた。,She was appalled by the astonishing event.
アクセント,アクセント,accent,英語でアクセントが大事です。,Accent is important in English.
あくび,あくび,yawn,授業中にあくびをすることは失礼です。,Yawning during class is rude.
飽くまで,あくまで,"to the end, to the last, stubbornly",彼は自分の意見を飽くまで主張した。,He stubbornly stuck to his opinion.
明くる～,あくる～,"next, following",明くる週末、旅行に行く予定です。,I'm planning a trip next weekend.
明け方,あけがた,dawn,明け方、美しい夜明けを見た。,I saw a beautiful dawn this morning.
憧れる,あこがれる,"to long for, to yearn after",彼女は成功した人々に憧れている。,She admires successful people.
朝寝坊,あさねぼう,"oversleeping, late riser",最近、朝寝坊をしてしまいます。,"Lately, I've been oversleeping in the mornings."
足跡,あしあと,footprint,森の中には熊の足跡があった。,There were bear footprints in the forest.
足元,あしもと,at one's feet,雨で足元がぬかるんでいます。,The ground is muddy at your feet because of the rain.
味わう,あじわう,"to taste, to savor",この料理の美味しさをよく味わってください。,Please savor the deliciousness of this dish.
預かる,あずかる,"to keep in custody, to receive on deposit, to take charge of",大切な書類を預かってくれませんか。,Could you take care of these important documents for me?
温まる,あたたまる,to warm oneself,湯船につかると、体が温まります。,Soaking in a hot bath warms up the body.
当たり前,あたりまえ,"natural, reasonable, obvious, usual, common, ordinary, commonplace, the norm",遅刻しても当たり前のように謝るのが礼儀だ。,It's common courtesy to apologize even if you're late.
あちらこちら,あちらこちら,here and there,花火大会の音があちらこちらから聞こえてきた。,Sounds of the fireworks display could be heard from all around.
厚かましい,あつかましい,"impudent, shameless,",彼は厚かましい態度で話しかけてきた。,He approached me with a shameless attitude.
圧縮,あっしゅく,"compression, condensation, pressure",データの圧縮で容量を減らすことができます。,You can reduce the file size by compressing data.
宛名,あてな,"address, direction",封筒に正確な宛名を書いてください。,Please write the correct address on the envelope.
当てはまる,あてはまる,"to be applicable, to come under (a category)",この理論はその事件に当てはまる。,This theory applies to this particular event.
当てはめる,あてはめる,"to apply, to adapt",新しい考え方を現実に当てはめる必要がある。,It is necessary to apply new ideas to reality.
暴れる,あばれる,"to act violently, to rage",子どもたちが楽しそうに公園で暴れている。,The children are playing wildly in the park.
脂,あぶら,"fat, tallow, lard",この料理には脂が多いので控えめにしてください。,Please go easy on this dish as it is high in fat.
あぶる,あぶる,"to scorch, to roast",魚をじっくりあぶって、美味しさを引き出す。,Roast the fish slowly to bring out the flavor.
あふれる,あふれる,"to flood, to overflow",川の水が増えて、堤防を越えてあふれた。,The river water rose and overflowed the embankment.
雨戸,あまど,sliding storm door,台風が来るので、雨戸を閉めました。,I closed the sliding storm doors because a typhoon is coming.
甘やかす,あまやかす,"to pamper, to spoil",可愛い犬を甘やかしすぎて、しつけが甘くなってしまった。,Spoiling the cute dog too much led to its misbehavior.
余る,あまる,"to be left over, to be in excess",パーティーで食べ物が余った。,There was leftover food at the party.
編み物,あみもの,knitting,母が私に手編みのセーターをプレゼントしてくれた。,My mother gave me a hand-knitted sweater as a gift.
あみもの,あみもの,"knitting, web",ひと昔前、あみものが人気だった。,Knitting was popular a few decades ago.
編む,あむ,to knit,母は毛糸で帽子を編んでいる。,My mother is knitting a hat with yarn.
危うい,あやうい,"dangerous, critical",その山道は危ういところが多い。,The mountain path has many dangerous spots.
怪しい,あやしい,"suspicious, dubious, doubtful",その男の様子が怪しい。,The man's behavior seems suspicious.
荒い,あらい,"rough, rude, wild",海が荒い日には泳ぎに行かない方がいい。,It's best not to swim in the rough sea.
粗い,あらい,"coarse, rough",この布はとても粗い。,This fabric is very rough.
粗筋,あらすじ,"outline, synopsis",映画の粗筋を教えてください。,Please tell me the outline of the movie.
争う,あらそう,"to compete, to contest, to contend to quarrel, to argue, to dispute, to be at variance, to oppose",彼らは試合で激しく争っていた。,They were fiercely competing in the match.
改めて,あらためて,"another time, again",改めて謝ります。,I apologize again.
改める,あらためる,"to change, to reform, to revise",彼は態度を改めた。,He changed his attitude.
あらわす,あらわす,"to write, to publish",新しい本をあらわします。,Publishing a new book.
有難い,ありがたい,"grateful, thankful, appreciated",あなたの助けは本当に有難いです。,Your help is truly appreciated.
あれこれ,あれこれ,"one thing or another, this and that",今日はあれこれ忙しい。,I'm busy with this and that today.
荒れる,あれる,"to be stormy, to be rough, to be ruined",海が荒れています。,The sea is rough.
慌ただしい,あわただしい,"busy, hurried",忙しくて慌ただしい。,Busy and hurried.
慌てる,あわてる,"to become confused (disconcerted, disorganized), to be flustered, to panic, to hurry, to rush, to hasten",上司の急な依頼で慌てました。,I panicked at the sudden request from my boss.
安易,あんい,easy-going,安易に決めないでください。,Please don't make decisions lightly.
案外,あんがい,"unexpectedly, surprisingly",案外うまくいった。,It went surprisingly well.
アンテナ,アンテナ,antenna,テレビにアンテナをつける。,Attach an antenna to the TV.
言い出す,いいだす,"to start talking, to suggest",彼女は遠出を言い出した。,She suggested going on a trip.
言い付ける,いいつける,"to tell, to order",子供たちに静かにするように言い付けた。,Told the children to be quiet.
意義,いぎ,"meaning, significance",その行動の意義を理解した。,I understood the significance of that action.
生き生き,いきいき,"vividly, lively",花は生き生きと咲いている。,The flowers are blooming vividly.
いきなり,いきなり,all of a sudden,いきなり雨が降り出した。,It suddenly started raining.
幾～,いく～,several ~,幾人かの学生が質問をした。,Several students asked questions.
育児,いくじ,"childcare, nursing",育児が大変な仕事だ。,Childcare is a tough job.
幾分,いくぶん,somewhat,その言葉は幾分あやふやだ。,Those words are somewhat ambiguous.
生け花,いけばな,flower arrangement,生け花を学ぶ。,Learn flower arrangement.
以後,いご,after this; from now on; hereafter,この日以後、彼女に会っていない。,I haven't seen her since that day.
イコール,イコール,equal,AイコールBという関係。,The relationship of A equals B.
以降,いこう,"on and after, hereafter",夏休み以降、学校へ行きます。,I will go to school after summer vacation.
勇ましい,いさましい,"brave, valiant",彼女はとても勇ましい。,She is very brave.
衣食住,いしょくじゅう,"food, clothing and shelter",衣食住を守る。,Protect the basic necessities of life.
いちいち,いちいち,"one by one, separately",いちいち確認する。,Check each one.
一応,いちおう,"tentatively, for the time being",一応答えを出しておいた。,I tentatively provided an answer.
一段と,いちだんと,"by far, greater",この道は一段と危険です。,This road is much more dangerous.
一流,いちりゅう,"first class, leading",彼はその業界の一流だ。,He is top-class in that industry.
一昨日,いっさくじつ,day before yesterday,一昨日、雨が降った。,It rained the day before yesterday.
一昨年,いっさくねん,year before last,一昨年、彼女に会った。,I met her the year before last.
一斉,いっせい,"simultaneous, all at once",一斉にドアを開けた。,They opened the doors all at once.
一旦,いったん,"once, for a moment",一旦冷静になって考えよう。,Let's calm down and think for a moment.
一定,いってい,"fixed, settled, regular",毎日同じ時間に一定の仕事をしています。,I do the same job at a fixed time every day.
行っていらっしゃい,いっていらっしゃい,"have a nice day, see you",行っていらっしゃい、お気をつけて。,"Have a nice day, take care."
いってきます,いってきます,"(Lit.) I'll go and come back, 'I'm going, see you later'",いってきます、また後で。,"I'm leaving, see you later."
いってまいります,いってまいります,"(Lit.) I'll go and come back, 'I'm going, see you later'",いってまいります、お元気で。,"I'm going, keep well."
行ってらっしゃい,いってらっしゃい,"have a nice day, see you",行ってらっしゃい、またね！,"Have a nice day, see you later!"
移転,いてん,"moving, transfer",会社が移転することになりました。,The company is moving its location.
井戸,いど,water well,村の井戸から水を汲んでいます。,Drawing water from the village well.
緯度,いど,latitude (navigation),この島の緯度は北緯50度です。,The latitude of this island is 50 degrees north.
威張る,いばる,"to be proud, to swagger",彼は自分の成功を威張っている。,He is proud of his success.
嫌がる,いやがる,"reluctant, to dislike",子供が野菜を嫌がっています。,The child dislikes vegetables.
いよいよ,いよいよ,"more and more, increasingly, at last",いよいよ春がやってきた。,"At last, spring has arrived."
煎る,いる,to roast,豆を煎って香ばしい香りが立ち込める。,Roast the beans until a fragrant aroma fills the room.
